,account,name,street,city,state,postal-code,abbrev23,Jan,Feb,Mar,total
0,211829.0,"Kerluke, Koepp and Hilpert",34456 Sean Highway,New Jaycob,Texas,28752.0,TX,10000,62000,35000,107000
1,320563.0,Walter-Trantow,1311 Alvis Tunnel,Port Khadijah,NorthCarolina,38365.0,NC,95000,45000,35000,175000
2,648336.0,"Bashirian, Kunde and Price",62184 Schamberger Underpass Apt. 231,New Lilianland,Iowa,76517.0,IA,91000,120000,35000,246000
3,109996.0,"D'Amore, Gleichner and Bode",155 Fadel Crescent Apt. 144,Hyattburgh,Maine,46021.0,ME,45000,120000,10000,175000
4,121213.0,Bauch-Goldner,7274 Marissa Common,Shanahanchester,California,49681.0,CA,162000,120000,35000,317000
5,132971.0,"Williamson, Schumm and Hettinger",89403 Casimer Spring,Jeremieburgh,Arkansas,62785.0,AR,150000,120000,35000,305000
6,145068.0,Casper LLC,340 Consuela Bridge Apt. 400,Lake Gabriellaton,Mississipi,18008.0,MS,62000,120000,70000,252000
7,205217.0,Kovacek-Johnston,91971 Cronin Vista Suite 601,Deronville,RhodeIsland,53461.0,RI,145000,95000,35000,275000
8,209744.0,Champlin-Morar,26739 Grant Lock,Lake Juliannton,Pennsylvania,64415.0,PA,70000,95000,35000,200000
9,212303.0,Gerhold-Maggio,366 Maggio Grove Apt. 998,North Ras,Idaho,46308.0,ID,70000,120000,35000,225000
10,214098.0,"Goodwin, Homenick and Jerde",649 Cierra Forks Apt. 078,Rosaberg,Tenessee,47743.0,TN,45000,120000,55000,220000
11,231907.0,Hahn-Moore,18115 Olivine Throughway,Norbertomouth,NorthDakota,31415.0,ND,150000,10000,162000,322000
12,242368.0,"Frami, Anderson and Donnelly",182 Bertie Road,East Davian,Iowa,72686.0,IA,162000,120000,35000,317000
13,268755.0,Walsh-Haley,2624 Beatty Parkways,Goodwinmouth,RhodeIsland,31919.0,RI,55000,120000,35000,210000
14,273274.0,McDermott PLC,8917 Bergstrom Meadow,Kathryneborough,Delaware,27933.0,DE,150000,120000,70000,340000
15,,,,,,,NC,1462000,1507000,717000,3686000
